Идентификатор вакансии;Наименование вакансии;Город;Работодатель;Дата публикации;Дата создания;График работы;Тип трудоустройства;Требуемый опыт;Количество откликов на вакансию с момента публикации;Количество откликов на вакансию с момента создания;Начальная граница З/П;Конечная граница З/П;Итоговая З/П;Ключевые навыки;Профессиональные роли;Кол-во ключевых навыков
100630320;Программист микроконтроллеров (Middle);Москва;ЭМИКОН;2024-06-19 17:16:14;2024-06-19 17:16:14;Полный день;Полная занятость;От 1 года до 3 лет;12;12;120000;160000;140000;C#,C++,ООП,Работа с большим объемом информации,Разработка ПО,Схемотехника электронного оборудования;Программист, разработчик;6
101877383;Cтажер/web разработчик (PHP, JS, HTML/CSS);Казань;Максимастер;2024-06-19 17:16:06;2024-06-19 17:16:06;Удаленная работа;Стажировка;Нет опыта;643;647;40000;60000;50000;CSS,HTML,JavaScript,PHP;Программист, разработчик;4
98780805;Старший программист С++/Qt;Санкт-Петербург;Даобит;2024-06-19 17:15:37;2024-06-19 17:15:37;Полный день;Полная занятость;Более 6 лет;8;21;240000;;120000;C++,Linux,Qt;Программист, разработчик;3
99978554;Ведущий разработчик 1С:Документооборот;Москва;Академия Документооборота | Лушников и партнеры;2024-06-19 17:11:53;2024-06-19 17:11:53;Полный день;Полная занятость;Более 6 лет;27;27;261000;696000;478500;1C: Предприятие,Active Directory,Администрирование,Администрирование 1С,Администрирование серверов Linux,Администрирование серверов Windows,Аудит безопасности,CentOS,Cистемы управления базами данных,Hyper-V,IIS,Информационная безопасность,Linux,MS SQL,MS SQL Server,Настройка VPS/VDS серверов,OpenVPN,ОС Windows,PostgreSQL,PowerShell,SQL,СУБД,Внедрение систем информационной безопасности,Zabbix;Программист, разработчик;24
96810349;Android разработчик (middle/senior);Ростов-на-Дону;ФГАНУ НИИ Спецвузавтоматика;2024-06-19 17:11:26;2024-06-19 17:11:26;Полный день;Полная занятость;От 3 до 6 лет;0;80;100000;250000;175000;Android,Android SDK,C++,CMake,Java,Kotlin,Разработка ПО;Программист, разработчик;7
96813358;Разработчик С++ (middle/senior);Ростов-на-Дону;ФГАНУ НИИ Спецвузавтоматика;2024-06-19 17:11:26;2024-06-19 17:11:26;Полный день;Полная занятость;От 3 до 6 лет;0;14;100000;250000;175000;C++,Git,Linux,Сетевые информационные технологии;Программист, разработчик;4
96816165;Go разработчик (middle/senior);Ростов-на-Дону;ФГАНУ НИИ Спецвузавтоматика;2024-06-19 17:11:26;2024-06-19 17:11:26;Полный день;Полная занятость;От 3 до 6 лет;0;23;100000;250000;175000;Базы данных,Git,Go,HTTP,Linux,MySQL,PostgreSQL,Сетевые информационные технологии,TCP/IP,UDP;Программист, разработчик;10
95469457;Senior Python developer (InfoSec);Ростов-на-Дону;ФГАНУ НИИ Спецвузавтоматика;2024-06-19 17:11:14;2024-06-19 17:11:14;Полный день;Полная занятость;Более 6 лет;0;45;230000;;115000;;Программист, разработчик;0
99978311;Программист/Специалист технической поддержки;Ставрополь;Молочный комбинат Ставропольский;2024-06-19 17:10:54;2024-06-19 17:10:54;Полный день;Полная занятость;От 1 года до 3 лет;13;13;43500;47850;45675;MS SQL,MySQL,PostgreSQL,Python,SQL;Программист, разработчик;5
101660317;Программист 1C;Москва;Спецтех Фаворит;2024-06-19 17:08:18;2024-06-19 17:08:18;Удаленная работа;Полная занятость;От 1 года до 3 лет;51;51;100000;;50000;1С:Фреш,1С программирование,MS SQL;Программист, разработчик;3
98493086;Senior PHP разработчик;Москва;Технолайт;2024-06-19 17:07:04;2024-06-19 17:07:04;Полный день;Полная занятость;Более 6 лет;15;106;;350000;175000;CI/CD,Cypress,Docker,Git,JavaScript,Laravel,PHP,PHP 7.4,Portainer,PSR-12,React,TeamCity,Unit тестирование;Программист, разработчик;13
94279731;Ruby on Rails разработчик;Санкт-Петербург;Codex Optimus;2024-06-19 17:05:37;2024-06-19 17:05:37;Удаленная работа;Полная занятость;От 3 до 6 лет;27;224;;450000;225000;Docker,PostgreSQL,Ruby,Ruby On Rails;Программист, разработчик;4
102297394;Техник-программист;Москва;ГБОУ ЦСиО САМБО-70 МОСКОМСПОРТА;2024-06-19 17:04:09;2024-06-19 17:04:09;Полный день;Полная занятость;От 1 года до 3 лет;0;0;70000;70000;70000;Администрирование сетевого оборудования,Информационные технологии,Настройка ПК,Настройка сетевых подключений,Офисная техника,Работа с большим объемом информации,Техническое обслуживание;Программист, разработчик;7
102297282;Инженер-программист прикладного ПО;Чебоксары;ЧЭАЗ;2024-06-19 17:02:15;2024-06-19 17:02:15;Полный день;Полная занятость;От 3 до 6 лет;0;0;130500;147900;139200;;Инженер-конструктор, инженер-проектировщик;0
101876600;Инженер-программист систем автоматизации и диспетчеризации;Казань;Авангард Инжиниринг;2024-06-19 17:02:13;2024-06-19 17:02:13;Гибкий график;Полная занятость;От 1 года до 3 лет;4;4;100000;;50000;PLC,Программирование,SCADA;Программист, разработчик;3
91895639;Программист С++/Qt, junior;Москва;НТЦ Радуга;2024-06-19 16:57:11;2024-06-19 16:57:11;Полный день;Полная занятость;От 1 года до 3 лет;15;813;69600;104400;87000;C++,Git,MS Visual Studio,ООП,Qt;Программист, разработчик;5
99976695;HTML-верстальщик / Разработчик на MODx;Уфа;ПандаВоркс;2024-06-19 16:55:43;2024-06-19 16:55:43;Гибкий график;Полная занятость;От 1 года до 3 лет;89;89;40000;65000;52500;Bootstrap,CMS,CSS,CSS3,Figma,Git,HTML,HTML5,JavaScript,jQuery,Кроссбраузерная верстка,MODx,PHP;Программист, разработчик;13
102296683;Программист;Санкт-Петербург;ГБУ ДО ДДТ Красносельского района Санкт-Петербурга;2024-06-19 16:55:14;2024-06-19 16:55:14;Полный день;Полная занятость;Нет опыта;1;1;30450;;15225;Администрирование,API,CMS Wordpress,CSS,Drupal,HTML,Linux,Многозадачность,Настройка ПО,Работа с людьми,Ремонт ПК,Сборка ПК,Техническое обслуживание,Умение расставлять приоритеты,Веб-программирование,Windows Os;Программист, разработчик;16
102296630;Fullstack-разработчик;Москва;Кодит;2024-06-19 16:54:33;2024-06-19 16:54:33;Полный день;Полная занятость;От 1 года до 3 лет;5;5;80000;120000;100000;Git,HTML5,Интеллигентность,Java,JavaScript,Kotlin,PostgreSQL,Quasar,Умение работать в условиях многозадачности,VueJS,Желание обучаться;Программист, разработчик;11
